# unique_item_name_map.tsv - auto-generated by ggpk-tools/PoeDataExtract
# source: 4-way join Words + UniqueStashLayout + ItemVisualIdentity + BaseItemTypes (.datc64)
# columns: metadata_path	unique_name
# generated: 2026-07-08T22:58:29Z
Metadata/Items/Armours/BodyArmours/FourBodyStrDex5CruelVerisium	Belly of the Beast
Metadata/Items/Armours/BodyArmours/FourBodyStrDex6CruelVerisium	Doryani's Prototype
Metadata/Items/Armours/BodyArmours/FourBodyStrInt4CruelVerisium	Husk of Dreams
Metadata/Items/Armours/BodyArmours/FourBodyStrInt5CruelVerisium	Voll's Protector
Metadata/Items/Armours/BodyArmours/FourBodyStrInt6CruelVerisium	Soul Mantle
Metadata/Items/Armours/BodyArmours/FourBodyDexInt4CruelVerisium	The Dancing Mirage
Metadata/Items/Armours/BodyArmours/FourBodyDexInt5CruelVerisium	Redflare Conduit
Metadata/Items/Armours/BodyArmours/FourBodyDexInt6CruelVerisium	Zerphi's Serape
Metadata/Items/Armours/Helmets/FourHelmetStr2Verisium	Ezomyte Peak
Metadata/Items/Armours/Helmets/FourHelmetStr3Verisium	Black Sun Crest
Metadata/Items/Armours/Helmets/FourHelmetStr4Verisium	Thrillsteel
Metadata/Items/Armours/Helmets/FourHelmetStr5Verisium	Deidbell
Metadata/Items/Armours/Helmets/FourHelmetStr6Verisium	Corona of the Red Sun
Metadata/Items/Armours/Helmets/FourHelmetStr8Verisium	Blood Price
Metadata/Items/Armours/Helmets/FourHelmetDex1Verisium	Innsmouth
Metadata/Items/Armours/Helmets/FourHelmetDex2Verisium	Goldrim
Metadata/Items/Armours/Helmets/FourHelmetDex3Verisium	Radiant Grief
Metadata/Items/Armours/Helmets/FourHelmetDex5Verisium	Elevore
Metadata/Items/Armours/Helmets/FourHelmetDex6Verisium	Constricting Command
Metadata/Items/Armours/Helmets/FourHelmetDex7Verisium	The Black Insignia
Metadata/Items/Armours/Helmets/FourHelmetDex8Verisium	Starkonja's Head
Metadata/Items/Armours/Helmets/FourHelmetDex9Verisium	Heatshiver
Metadata/Items/Armours/Helmets/FourHelmetDex10Verisium	Myris Uxor
Metadata/Items/Armours/Helmets/FourHelmetDex11Verisium	Alpha's Howl
Metadata/Items/Armours/Helmets/FourHelmetInt1Verisium	Crown of Thorns
Metadata/Items/Armours/Helmets/FourHelmetInt2Verisium	The Devouring Diadem
Metadata/Items/Armours/Helmets/FourHelmetInt3Verisium	Visage of Ayah
Metadata/Items/Armours/Helmets/FourHelmetInt4Verisium	Forbidden Gaze
Metadata/Items/Armours/Helmets/FourHelmetInt5Verisium	Mask of the Stitched Demon
Metadata/Items/Armours/Helmets/FourHelmetInt6Verisium	Atziri's Disdain
Metadata/Items/Armours/Helmets/FourHelmetInt7Verisium	Crown of Eyes
Metadata/Items/Armours/Helmets/FourHelmetInt8Verisium	Scold's Bridle
Metadata/Items/Armours/Helmets/FourHelmetInt11Verisium	Indigon
Metadata/Items/Armours/Helmets/FourHelmetStrDex1Verisium	Greymake
Metadata/Items/Armours/Helmets/FourHelmetStrDex2Verisium	Erian's Cobble
Metadata/Items/Armours/Helmets/FourHelmetStrDex3Verisium	Ironride
Metadata/Items/Armours/Helmets/FourHelmetStrDex4Verisium	The Smiling Knight
Metadata/Items/Armours/Helmets/FourHelmetStrDex5Verisium	The Vile Knight
Metadata/Items/Armours/Helmets/FourHelmetStrDex7Verisium	The Bringer of Rain
Metadata/Items/Armours/Helmets/FourHelmetStrInt1Verisium	Crown of the Victor
Metadata/Items/Armours/Helmets/FourHelmetStrInt2Verisium	Bronzebeard
Metadata/Items/Armours/Helmets/FourHelmetStrInt3Verisium	Crown of the Pale King
Metadata/Items/Armours/Helmets/FourHelmetStrInt4Verisium	Veil of the Night
Metadata/Items/Armours/Helmets/FourHelmetStrInt5Verisium	Cornathaum
Metadata/Items/Armours/Helmets/FourHelmetStrInt6Verisium	The Deepest Tower
Metadata/Items/Armours/Helmets/FourHelmetDexInt1Verisium	The Hollow Mask
Metadata/Items/Armours/Helmets/FourHelmetDexInt2Verisium	Mask of the Sanguimancer
Metadata/Items/Armours/Helmets/FourHelmetDexInt3Verisium	Leer Cast
Metadata/Items/Armours/Helmets/FourHelmetDexInt4Verisium	Atsak's Sight
Metadata/Items/Armours/Helmets/FourHelmetDexInt5Verisium	The Vertex
Metadata/Items/Armours/Helmets/FourHelmetDexInt6Verisium	The Three Dragons
Metadata/Items/Armours/Helmets/FourHelmetDexInt8Verisium	Mind of the Council
Metadata/Items/Armours/Helmets/FourHelmetStr4CruelVerisium	Thrillsteel
Metadata/Items/Armours/Helmets/FourHelmetStr5CruelVerisium	Deidbell
Metadata/Items/Armours/Helmets/FourHelmetDex5CruelVerisium	Elevore
Metadata/Items/Armours/Helmets/FourHelmetInt4CruelVerisium	Forbidden Gaze
Metadata/Items/Armours/Helmets/FourHelmetInt5CruelVerisium	Mask of the Stitched Demon
Metadata/Items/Armours/Helmets/FourHelmetStrDex4CruelVerisium	The Smiling Knight
Metadata/Items/Armours/Helmets/FourHelmetStrDex5CruelVerisium	The Vile Knight
Metadata/Items/Armours/Helmets/FourHelmetStrInt4CruelVerisium	Veil of the Night
Metadata/Items/Armours/Helmets/FourHelmetStrInt5CruelVerisium	Cornathaum
Metadata/Items/Armours/Helmets/FourHelmetDexInt4CruelVerisium	Atsak's Sight
Metadata/Items/Armours/Helmets/FourHelmetDexInt5CruelVerisium	The Vertex
Metadata/Items/Armours/Gloves/FourGlovesStr1Verisium	Facebreaker
Metadata/Items/Armours/Gloves/FourGlovesStr2Verisium	Treefingers
Metadata/Items/Armours/Gloves/FourGlovesStr3Verisium	Lochtonial Caress
Metadata/Items/Armours/Gloves/FourGlovesStr4Verisium	Dreadfist
Metadata/Items/Armours/Gloves/FourGlovesStr5Verisium	Atziri's Acuity
Metadata/Items/Armours/Gloves/FourGlovesStr7Verisium	Empire's Grasp
Metadata/Items/Armours/Gloves/FourGlovesDex1Verisium	Northpaw
Metadata/Items/Armours/Gloves/FourGlovesDex2Verisium	Grip of Winter
Metadata/Items/Armours/Gloves/FourGlovesDex4Verisium	Idle Hands
Metadata/Items/Armours/Gloves/FourGlovesDex5Verisium	Snakebite
Metadata/Items/Armours/Gloves/FourGlovesDex6Verisium	Maligaro's Virtuosity
Metadata/Items/Armours/Gloves/FourGlovesInt1Verisium	Painter's Servant
Metadata/Items/Armours/Gloves/FourGlovesInt2Verisium	Candlemaker
Metadata/Items/Armours/Gloves/FourGlovesInt3Verisium	Doedre's Tenure
Metadata/Items/Armours/Gloves/FourGlovesInt4Verisium	Kitoko's Current
Metadata/Items/Armours/Gloves/FourGlovesInt5Verisium	Demon Stitcher
Metadata/Items/Armours/Gloves/FourGlovesInt6Verisium	Nightscale
Metadata/Items/Armours/Gloves/FourGlovesInt7Verisium	Leopold's Applause
Metadata/Items/Armours/Gloves/FourGlovesStrDex1Verisium	Jarngreipr
Metadata/Items/Armours/Gloves/FourGlovesStrDex2Verisium	Aurseize
Metadata/Items/Armours/Gloves/FourGlovesStrDex3Verisium	Deathblow
Metadata/Items/Armours/Gloves/FourGlovesStrDex4Verisium	Valako's Vice
Metadata/Items/Armours/Gloves/FourGlovesStrDex5Verisium	Aerisvane's Wings
Metadata/Items/Armours/Gloves/FourGlovesStrInt1Verisium	Gravebind
Metadata/Items/Armours/Gloves/FourGlovesStrInt2Verisium	Shackles of the Wretched
Metadata/Items/Armours/Gloves/FourGlovesStrInt3Verisium	Blueflame Bracers
Metadata/Items/Armours/Gloves/FourGlovesStrInt4Verisium	The Prisoner's Manacles
Metadata/Items/Armours/Gloves/FourGlovesDexInt1Verisium	Plaguefinger
Metadata/Items/Armours/Gloves/FourGlovesDexInt2Verisium	Killjoy
Metadata/Items/Armours/Gloves/FourGlovesDexInt5Verisium	Essentia Sanguis
Metadata/Items/Armours/Gloves/FourGlovesDexInt6Verisium	Thunderfist
Metadata/Items/Armours/Gloves/FourGlovesStr4CruelVerisium	Dreadfist
Metadata/Items/Armours/Gloves/FourGlovesStr5CruelVerisium	Atziri's Acuity
Metadata/Items/Armours/Gloves/FourGlovesDex4CruelVerisium	Idle Hands
Metadata/Items/Armours/Gloves/FourGlovesDex5CruelVerisium	Snakebite
Metadata/Items/Armours/Gloves/FourGlovesInt4CruelVerisium	Kitoko's Current
Metadata/Items/Armours/Gloves/FourGlovesInt5CruelVerisium	Demon Stitcher
Metadata/Items/Armours/Gloves/FourGlovesStrDex3CruelVerisium	Deathblow
Metadata/Items/Armours/Gloves/FourGlovesStrInt3CruelVerisium	Blueflame Bracers
Metadata/Items/Armours/Boots/FourBootsStr1Verisium	Legionstride
Metadata/Items/Armours/Boots/FourBootsStr2Verisium	Corpsewade
Metadata/Items/Armours/Boots/FourBootsStr3Verisium	The Infinite Pursuit
Metadata/Items/Armours/Boots/FourBootsStr4Verisium	Trampletoe
Metadata/Items/Armours/Boots/FourBootsStr5Verisium	Birth of Fury
Metadata/Items/Armours/Boots/FourBootsDex2Verisium	Briarpatch
Metadata/Items/Armours/Boots/FourBootsDex3Verisium	Gamblesprint
Metadata/Items/Armours/Boots/FourBootsDex4Verisium	Thunderstep
Metadata/Items/Armours/Boots/FourBootsDex5Verisium	Bushwhack
Metadata/Items/Armours/Boots/FourBootsInt1Verisium	Luminous Pace
Metadata/Items/Armours/Boots/FourBootsInt2Verisium	Wanderlust
Metadata/Items/Armours/Boots/FourBootsInt3Verisium	Bones of Ullr
Metadata/Items/Armours/Boots/FourBootsInt4Verisium	Wondertrap
Metadata/Items/Armours/Boots/FourBootsInt5Verisium	Windscream
Metadata/Items/Armours/Boots/FourBootsStrDex1Verisium	The Knight-errant
Metadata/Items/Armours/Boots/FourBootsStrDex2Verisium	Darkray Vectors
Metadata/Items/Armours/Boots/FourBootsStrDex3Verisium	Obern's Bastion
Metadata/Items/Armours/Boots/FourBootsStrDex4Verisium	Shankgonne
Metadata/Items/Armours/Boots/FourBootsStrInt2Verisium	Wake of Destruction
Metadata/Items/Armours/Boots/FourBootsDexInt2Verisium	Ghostmarch
Metadata/Items/Armours/Boots/FourBootsDexInt3Verisium	Powertread
Metadata/Items/Armours/Boots/FourBootsStr4CruelVerisium	Trampletoe
Metadata/Items/Armours/Boots/FourBootsStr5CruelVerisium	Birth of Fury
Metadata/Items/Armours/Boots/FourBootsDex4CruelVerisium	Thunderstep
Metadata/Items/Armours/Boots/FourBootsDex5CruelVerisium	Bushwhack
Metadata/Items/Armours/Boots/FourBootsInt4CruelVerisium	Wondertrap
Metadata/Items/Armours/Boots/FourBootsInt5CruelVerisium	Windscream
Metadata/Items/Armours/Boots/FourBootsStrDex3CruelVerisium	Obern's Bastion
Metadata/Items/Armours/Boots/FourBootsDexInt3CruelVerisium	Powertread
Metadata/Items/Armours/Shields/FourShieldStr1Verisium	Dionadair
Metadata/Items/Armours/Shields/FourShieldStr2Verisium	Wulfsbane
Metadata/Items/Armours/Shields/FourShieldStr3Verisium	Doomgate
Metadata/Items/Armours/Shields/FourShieldStr4Verisium	Window to Paradise
Metadata/Items/Armours/Shields/FourShieldStr5Verisium	The Wailing Wall
Metadata/Items/Armours/Shields/FourShieldStr6Verisium	Lycosidae
Metadata/Items/Armours/Shields/FourShieldStr7Verisium	Redblade Banner
Metadata/Items/Armours/Shields/FourShieldStr8Verisium	The Surrender
Metadata/Items/Armours/Shields/FourShieldStr13Verisium	Chernobog's Pillar
Metadata/Items/Armours/Shields/FourShieldStrDex1Verisium	Arvil's Wheel
Metadata/Items/Armours/Shields/FourShieldStrDex2Verisium	Merit of Service
Metadata/Items/Armours/Shields/FourShieldStrDex4Verisium	Feathered Fortress
Metadata/Items/Armours/Shields/FourShieldStrInt1Verisium	Alkem Eira
Metadata/Items/Armours/Shields/FourShieldStrInt2Verisium	Oaksworn
Metadata/Items/Armours/Shields/FourShieldStrInt3Verisium	Saffell's Frame
Metadata/Items/Armours/Shields/FourShieldStrInt4Verisium	Crest of Ardura
Metadata/Items/Armours/Shields/FourShieldStrInt5Verisium	Prism Guardian
Metadata/Items/Armours/Shields/FourShieldStrInt6Verisium	Rise of the Phoenix
Metadata/Items/Armours/Shields/FourShieldDex1Verisium	Dunkelhalt
Metadata/Items/Armours/Shields/FourShieldDex2Verisium	Nocturne
Metadata/Items/Armours/Shields/FourShieldDex3Verisium	Rondel de Ezo
Metadata/Items/Armours/Shields/FourShieldDex4Verisium	Bloodbarrier
Metadata/Items/Armours/Shields/FourShieldDex5Verisium	Kaltenhalt
Metadata/Items/Armours/Shields/FourShieldDex6Verisium	Silverthorne
Metadata/Items/Armours/Shields/FourShieldDex11Verisium	Calgyra's Arc
Metadata/Items/Armours/Shields/FourShieldDex12Verisium	Sunsplinter
Metadata/Items/Armours/Shields/FourShieldStr6CruelVerisium	Lycosidae
Metadata/Items/Armours/Shields/FourShieldStr7CruelVerisium	Redblade Banner
Metadata/Items/Armours/Shields/FourShieldStr8CruelVerisium	The Surrender
Metadata/Items/Armours/Shields/FourShieldStrDex4CruelVerisium	Feathered Fortress
Metadata/Items/Armours/Shields/FourShieldStrInt4CruelVerisium	Crest of Ardura
Metadata/Items/Armours/Shields/FourShieldStrInt5CruelVerisium	Prism Guardian
Metadata/Items/Armours/Shields/FourShieldStrInt6CruelVerisium	Rise of the Phoenix
Metadata/Items/Armours/Shields/FourShieldDex6CruelVerisium	Silverthorne
Metadata/Items/Armours/Focii/FourFocus1Verisium	Deathrattle
Metadata/Items/Armours/Focii/FourFocus2Verisium	Threaded Light
Metadata/Items/Armours/Focii/FourFocus3Verisium	Effigy of Cruelty
Metadata/Items/Armours/Focii/FourFocus4Verisium	Carrion Call
Metadata/Items/Armours/Focii/FourFocus5Verisium	Serpent's Lesson
Metadata/Items/Armours/Focii/FourFocus6Verisium	The Eternal Spark
Metadata/Items/Armours/Focii/FourFocus7Verisium	Apep's Supremacy
Metadata/Items/Armours/Focii/FourFocus8Verisium	Rathpith Globe
Metadata/Items/Armours/Focii/FourFocus6CruelVerisium	The Eternal Spark
Metadata/Items/Armours/Focii/FourFocus7CruelVerisium	Apep's Supremacy
Metadata/Items/Armours/Focii/FourFocus8CruelVerisium	Rathpith Globe
Metadata/Items/Armours/BodyArmours/FourBodyStr3EndgameVerisium	Edyrn's Tusks
Metadata/Items/Armours/BodyArmours/FourBodyStr6EndgameVerisium	Wandering Reliquary
Metadata/Items/Armours/BodyArmours/FourBodyStr8EndgameVerisium	Greed's Embrace
Metadata/Items/Armours/BodyArmours/FourBodyDex3EndgameVerisium	Ashrend
Metadata/Items/Armours/BodyArmours/FourBodyDex6EndgameVerisium	Dustbloom
Metadata/Items/Armours/BodyArmours/FourBodyDex8EndgameVerisium	Quatl's Molt
Metadata/Items/Armours/BodyArmours/FourBodyDex10EndgameVerisium	Queen of the Forest
Metadata/Items/Armours/BodyArmours/FourBodyInt3EndgameVerisium	The Black Doubt
Metadata/Items/Armours/BodyArmours/FourBodyInt6EndgameVerisium	Prayers for Rain
Metadata/Items/Armours/BodyArmours/FourBodyInt8EndgameVerisium	The Covenant
Metadata/Items/Armours/BodyArmours/FourBodyStrDex2EndgameVerisium	The Barrow Dweller
Metadata/Items/Armours/BodyArmours/FourBodyStrDex4aEndgameVerisium	Pariah's Embrace
Metadata/Items/Armours/BodyArmours/FourBodyStrDex4bEndgameVerisium	Pariah's Embrace
Metadata/Items/Armours/BodyArmours/FourBodyStrDex4cEndgameVerisium	Pariah's Embrace
Metadata/Items/Armours/BodyArmours/FourBodyStrDex6EndgameVerisium	Doryani's Prototype
Metadata/Items/Armours/BodyArmours/FourBodyStrDex8EndgameVerisium	Lightning Coil
Metadata/Items/Armours/BodyArmours/FourBodyStrInt4EndgameVerisium	Husk of Dreams
Metadata/Items/Armours/BodyArmours/FourBodyStrInt6EndgameVerisium	Soul Mantle
Metadata/Items/Armours/BodyArmours/FourBodyStrInt8EndgameVerisium	Waveshaper
Metadata/Items/Armours/BodyArmours/FourBodyDexInt2EndgameVerisium	Gloomform
Metadata/Items/Armours/BodyArmours/FourBodyDexInt4EndgameVerisium	The Dancing Mirage
Metadata/Items/Armours/BodyArmours/FourBodyDexInt6EndgameVerisium	Zerphi's Serape
Metadata/Items/Armours/Helmets/FourHelmetStr2EndgameVerisium	Ezomyte Peak
Metadata/Items/Armours/Helmets/FourHelmetStr4EndgameVerisium	Thrillsteel
Metadata/Items/Armours/Helmets/FourHelmetStr5EndgameVerisium	Deidbell
Metadata/Items/Armours/Helmets/FourHelmetDex2EndgameVerisium	Goldrim
Metadata/Items/Armours/Helmets/FourHelmetDex5EndgameVerisium	Elevore
Metadata/Items/Armours/Helmets/FourHelmetDex7EndgameVerisium	The Black Insignia
Metadata/Items/Armours/Helmets/FourHelmetInt2EndgameVerisium	The Devouring Diadem
Metadata/Items/Armours/Helmets/FourHelmetInt4EndgameVerisium	Forbidden Gaze
Metadata/Items/Armours/Helmets/FourHelmetInt5EndgameVerisium	Mask of the Stitched Demon
Metadata/Items/Armours/Helmets/FourHelmetInt8EndgameVerisium	Scold's Bridle
Metadata/Items/Armours/Helmets/FourHelmetStrDex2EndgameVerisium	Erian's Cobble
Metadata/Items/Armours/Helmets/FourHelmetStrDex4EndgameVerisium	The Smiling Knight
Metadata/Items/Armours/Helmets/FourHelmetStrDex5EndgameVerisium	The Vile Knight
Metadata/Items/Armours/Helmets/FourHelmetStrInt2EndgameVerisium	Bronzebeard
Metadata/Items/Armours/Helmets/FourHelmetStrInt4EndgameVerisium	Veil of the Night
Metadata/Items/Armours/Helmets/FourHelmetStrInt5EndgameVerisium	Cornathaum
Metadata/Items/Armours/Helmets/FourHelmetStrInt6EndgameVerisium	The Deepest Tower
Metadata/Items/Armours/Helmets/FourHelmetDexInt2EndgameVerisium	Mask of the Sanguimancer
Metadata/Items/Armours/Helmets/FourHelmetDexInt4EndgameVerisium	Atsak's Sight
Metadata/Items/Armours/Helmets/FourHelmetDexInt5EndgameVerisium	The Vertex
Metadata/Items/Armours/Helmets/FourHelmetDexInt6EndgameVerisium	The Three Dragons
Metadata/Items/Armours/Gloves/FourGlovesStr2EndgameVerisium	Treefingers
Metadata/Items/Armours/Gloves/FourGlovesStr4EndgameVerisium	Dreadfist
Metadata/Items/Armours/Gloves/FourGlovesStr5EndgameVerisium	Atziri's Acuity
Metadata/Items/Armours/Gloves/FourGlovesDex2EndgameVerisium	Grip of Winter
Metadata/Items/Armours/Gloves/FourGlovesDex4EndgameVerisium	Idle Hands
Metadata/Items/Armours/Gloves/FourGlovesDex5EndgameVerisium	Snakebite
Metadata/Items/Armours/Gloves/FourGlovesDex6EndgameVerisium	Maligaro's Virtuosity
Metadata/Items/Armours/Gloves/FourGlovesInt2EndgameVerisium	Candlemaker
Metadata/Items/Armours/Gloves/FourGlovesInt4EndgameVerisium	Kitoko's Current
Metadata/Items/Armours/Gloves/FourGlovesInt5EndgameVerisium	Demon Stitcher
Metadata/Items/Armours/Gloves/FourGlovesInt6EndgameVerisium	Nightscale
Metadata/Items/Armours/Gloves/FourGlovesStrDex1EndgameVerisium	Jarngreipr
Metadata/Items/Armours/Gloves/FourGlovesStrDex2EndgameVerisium	Aurseize
Metadata/Items/Armours/Gloves/FourGlovesStrDex3EndgameVerisium	Deathblow
Metadata/Items/Armours/Gloves/FourGlovesStrDex4EndgameVerisium	Valako's Vice
Metadata/Items/Armours/Gloves/FourGlovesStrInt1EndgameVerisium	Gravebind
Metadata/Items/Armours/Gloves/FourGlovesStrInt2EndgameVerisium	Shackles of the Wretched
Metadata/Items/Armours/Gloves/FourGlovesStrInt3EndgameVerisium	Blueflame Bracers
Metadata/Items/Armours/Gloves/FourGlovesStrInt4EndgameVerisium	The Prisoner's Manacles
Metadata/Items/Armours/Gloves/FourGlovesDexInt1EndgameVerisium	Plaguefinger
Metadata/Items/Armours/Gloves/FourGlovesDexInt2EndgameVerisium	Killjoy
Metadata/Items/Armours/Boots/FourBootsStr2EndgameVerisium	Corpsewade
Metadata/Items/Armours/Boots/FourBootsStr4EndgameVerisium	Trampletoe
Metadata/Items/Armours/Boots/FourBootsStr5EndgameVerisium	Birth of Fury
Metadata/Items/Armours/Boots/FourBootsDex2EndgameVerisium	Briarpatch
Metadata/Items/Armours/Boots/FourBootsDex4EndgameVerisium	Thunderstep
Metadata/Items/Armours/Boots/FourBootsDex5EndgameVerisium	Bushwhack
Metadata/Items/Armours/Boots/FourBootsInt2EndgameVerisium	Wanderlust
Metadata/Items/Armours/Boots/FourBootsInt4EndgameVerisium	Wondertrap
Metadata/Items/Armours/Boots/FourBootsInt5EndgameVerisium	Windscream
Metadata/Items/Armours/Boots/FourBootsStrDex1EndgameVerisium	The Knight-errant
Metadata/Items/Armours/Boots/FourBootsStrDex2EndgameVerisium	Darkray Vectors
Metadata/Items/Armours/Boots/FourBootsStrDex3EndgameVerisium	Obern's Bastion
Metadata/Items/Armours/Boots/FourBootsStrDex4EndgameVerisium	Shankgonne
Metadata/Items/Armours/Boots/FourBootsStrInt2EndgameVerisium	Wake of Destruction
Metadata/Items/Armours/Boots/FourBootsDexInt2EndgameVerisium	Ghostmarch
Metadata/Items/Armours/Boots/FourBootsDexInt3EndgameVerisium	Powertread
Metadata/Items/Armours/Shields/FourShieldStr3EndgameVerisium	Doomgate
Metadata/Items/Armours/Shields/FourShieldStr6EndgameVerisium	Lycosidae
Metadata/Items/Armours/Shields/FourShieldStr8EndgameVerisium	The Surrender
Metadata/Items/Armours/Shields/FourShieldStrDex2EndgameVerisium	Merit of Service
Metadata/Items/Armours/Shields/FourShieldStrDex4EndgameVerisium	Feathered Fortress
Metadata/Items/Armours/Shields/FourShieldStrInt2EndgameVerisium	Oaksworn
Metadata/Items/Armours/Shields/FourShieldStrInt4EndgameVerisium	Crest of Ardura
Metadata/Items/Armours/Shields/FourShieldStrInt6EndgameVerisium	Rise of the Phoenix
Metadata/Items/Armours/Shields/FourShieldDex3EndgameVerisium	Rondel de Ezo
Metadata/Items/Armours/Shields/FourShieldDex6EndgameVerisium	Silverthorne
Metadata/Items/Armours/Focii/FourFocus3EndgameVerisium	Effigy of Cruelty
Metadata/Items/Armours/Focii/FourFocus6EndgameVerisium	The Eternal Spark
Metadata/Items/Armours/Focii/FourFocus8EndgameVerisium	Rathpith Globe
Metadata/Items/Armours/BodyArmours/FourBodyStr2VerisiumUnique1	Blackbraid
Metadata/Items/Armours/Helmets/FourHelmetDex3VerisiumUnique1	Radiant Grief
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMaceVerisium1a	Brynhand's Mark
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMaceVerisium1b	Brynhand's Mark
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMaceVerisium3	Frostbreath
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMaceVerisium4	Trenchtimbre
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMaceVerisium5	Sculpted Suffering
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace14Verisium1	Sadist's Mercy
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace14Verisium2	Sadist's Mercy
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace14Verisium3	Sadist's Mercy
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace14Verisium4	Sadist's Mercy
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMaceVerisium9	Brutus' Lead Sprinkler
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMaceVerisium1a	Hoghunt
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMaceVerisium1b	Hoghunt
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMaceVerisium2a	Hrimnor's Hymn
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMaceVerisium2b	Hrimnor's Hymn
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMaceVerisium3	Trephina
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMaceVerisium4a	Brain Rattler
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMaceVerisium4b	Brain Rattler
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMaceVerisium5	The Empty Roar
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMaceVerisium6	Shyaba
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMaceVerisium7	Chober Chaber
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMaceVerisium8	Quecholli
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMaceVerisium9	Tidebreaker
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpearVerisium1	Splinter of Loratta
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpearVerisium2a	Tyranny's Grip
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpearVerisium2b	Tyranny's Grip
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpearVerisium3	Chainsting
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpearVerisium4	Skysliver
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpearVerisium5	Daevata's Wind
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpearVerisium6	Tangletongue
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpearVerisium7	Saitha's Spear
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaffVerisium1	The Blood Thorn
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaffVerisium2a	Pillar of the Caged God
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaffVerisium2b	Pillar of the Caged God
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaffVerisium3a	The Sentry
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaffVerisium3b	The Sentry
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaffVerisium5	Matsya
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaffVerisium6	Nazir's Judgement
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBowVerisium1	Widowhail
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBowVerisium2a	Quill Rain
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBowVerisium2b	Ironbound
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBowVerisium3	Ironbound
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBowVerisium4	Splinterheart
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBowVerisium5	Doomfletch
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBowVerisium6	Death's Harp
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBowVerisium8	Slivertongue
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbowVerisium1	Mist Whisper
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbowVerisium2a	Rampart Raptor
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbowVerisium2b	Rampart Raptor
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbowVerisium5a	Double Vision
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbowVerisium5b	Double Vision
Metadata/Items/Weapons/TwoHandWeapons/Talismans/TalismanVerisium1	Amor Mandragora
Metadata/Items/Weapons/TwoHandWeapons/Talismans/TalismanVerisium2a	Spiteful Floret
